fips,year,wuiClass,variable,value
6035,2015,total,num houses,26996
6035,2019,1,num houses,176
6035,2019,2,num houses,655
6035,2019,3,num houses,3653
6035,2019,4,num houses,3504
6035,2019,5,num houses,4629
6035,2019,6,num houses,9469
6035,2019,7,num houses,4923
6035,2019,total,num houses,27009
6037,1975,1,num houses,109
6037,1975,2,num houses,122
6037,1975,3,num houses,644
6037,1975,4,num houses,661
6037,1975,5,num houses,2093
6037,1975,6,num houses,47978
6037,1975,7,num houses,1736852
6037,1975,total,num houses,1788459
6037,1985,1,num houses,109
6037,1985,2,num houses,122
6037,1985,3,num houses,648
6037,1985,4,num houses,665
6037,1985,5,num houses,2181
6037,1985,6,num houses,46030
6037,1985,7,num houses,1955854
6037,1985,total,num houses,2005609
6037,1995,1,num houses,109
6037,1995,2,num houses,122
6037,1995,3,num houses,586
6037,1995,4,num houses,673
6037,1995,5,num houses,2018
6037,1995,6,num houses,40513
6037,1995,7,num houses,2165231
6037,1995,total,num houses,2209252
6037,2005,1,num houses,110
6037,2005,2,num houses,122
6037,2005,3,num houses,589
6037,2005,4,num houses,678
6037,2005,5,num houses,2094
6037,2005,6,num houses,37188
6037,2005,7,num houses,2266658
6037,2005,total,num houses,2307439
6037,2015,1,num houses,110
6037,2015,2,num houses,122
6037,2015,3,num houses,589
6037,2015,4,num houses,682
6037,2015,5,num houses,2129
6037,2015,6,num houses,35025
6037,2015,7,num houses,2354680
6037,2015,total,num houses,2393337
6037,2019,1,num houses,110
6037,2019,2,num houses,122
6037,2019,3,num houses,589
6037,2019,4,num houses,682
6037,2019,5,num houses,2130
6037,2019,6,num houses,35035
6037,2019,7,num houses,2360474
6037,2019,total,num houses,2399142
6039,1975,1,num houses,12
6039,1975,2,num houses,124
6039,1975,3,num houses,302
6039,1975,4,num houses,1369
6039,1975,5,num houses,3230
6039,1975,6,num houses,24594
6039,1975,7,num houses,0
6039,1975,total,num houses,29631
6039,1985,1,num houses,12
6039,1985,2,num houses,126
6039,1985,3,num houses,214
6039,1985,4,num houses,1539
